molecule (Canonical/Isomeric SMILES),bacteria,MIC (µmol mL−1),MIC (µg mL−1),doi,id,type,group,group_name,Unnamed: 9,Molecular weight,MIC,log MIC,S. aureus,E. coli,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c. 25922, E. coli25922",,16,10.1002/cjoc.202200326,6h,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,424.52600000000024,37.68909324752781,1.5762156889929262,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1a,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,фторхинолон,,397.41000000000014,161.04275181802163,2.2069411829509615,-,+,нет бензимидазола
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,1,https://doi.org/10.1016/j.bmcl.2022.128885,1b,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,2.430505763944418,0.38569665534114583,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)N)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,16,https://doi.org/10.1016/j.bmcl.2022.128885,1c,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,412.42500000000007,38.79493241195368,1.5887749995823455,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)C(F)(F)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,256,https://doi.org/10.1016/j.bmcl.2022.128885,1d,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,465.40700000000004,550.056187380078,2.7404070542629193,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,2,https://doi.org/10.1016/j.bmcl.2022.128885,1e,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,4.861011527888836,0.6867266510051271,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,1,https://doi.org/10.1016/j.bmcl.2022.128885,1f,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,425.4640000000002,2.35037511986913,0.37113718120284567,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)CC,"E. C. 25922, Escherichia coli ATCC 25922",,2,https://doi.org/10.1016/j.bmcl.2022.128885,1g,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.4360000000002,4.67906306441198,0.6701588986526537,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128,https://doi.org/10.1016/j.bmcl.2022.128885,1h,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,415.40000000000003,308.1367356764564,2.488743477448788,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)Br)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128,https://doi.org/10.1016/j.bmcl.2022.128885,1i,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,476.30600000000004,268.7348049363224,2.42932391731856,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,1,https://doi.org/10.1016/j.bmcl.2022.128885,1j,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,409.42100000000016,2.442473639603244,0.3878298852929073,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,8,https://doi.org/10.1016/j.bmcl.2022.128885,1k,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,18.892520451153377,1.276289901013844,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=CC(=N5)C(F)(F)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,32,https://doi.org/10.1016/j.bmcl.2022.128885,1l,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,477.41800000000006,67.02721723940026,1.8262511892182833,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,8,https://doi.org/10.1016/j.bmcl.2022.128885,1m,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,18.892520451153377,1.276289901013844,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,4,https://doi.org/10.1016/j.bmcl.2022.128885,1n,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,437.47500000000025,9.143379621692663,0.9611067515062467,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)C5CC5,"E. C. 25922, Escherichia coli ATCC 25922",,4,https://doi.org/10.1016/j.bmcl.2022.128885,1o,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,439.44700000000023,9.102349088741073,0.9591534873345932,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,8,https://doi.org/10.1016/j.bmcl.2022.128885,1p,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,18.71734700323576,1.2722442918643466,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C. 25922, Escherichia coli ATCC 25922",,128,https://doi.org/10.1016/j.bmcl.2022.128885,1q,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,299.47755205177214,2.4763642745202716,-,+,
O=C(OCC)C1=C(NC(=O)NC1C=2OC=CC2)CN3C=NC=4C=CC=CC43,"E. c., E.coli",,128,10.1002/cjoc.202200326 (https://onlinelibrary.wiley.com/doi/epdf/10.1002/cjoc.202200326),5a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,366.37700000000007,349.36690894897873,2.5432817674430193,-,+,повтор
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c., E.coli",,64,10.1002/cjoc.202200326,5b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,382.44500000000016,167.3443240204473,2.223610986556937,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC=C4,"E. c., E.coli",,64,10.1002/cjoc.202200326,5c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,396.47200000000015,161.42375754151612,2.2079674523804007,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c., E.coli",,64,10.1002/cjoc.202200326,6a,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,461.3410000000002,138.72601828148802,2.142157921321188,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c., E.coli",,32,10.1002/cjoc.202200326,6b,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,427.44200000000023,74.86395815104736,1.8742727850775573,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c., E.coli",,16,10.1002/cjoc.202200326,6c,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,416.8900000000002,38.379428626256306,1.5840985048884808,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=CC=CS2)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c., E.coli",,128,10.1002/cjoc.202200326,6d,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,410.49900000000025,311.8156195264786,2.4938978661583304,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=CC(=C4)Br,"E. c., E.coli",,16,10.1002/cjoc.202200326,6e,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,475.36800000000017,33.6581343296141,1.52709003936383,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)[N+](=O)[O-],"E. c., E.coli",,32,10.1002/cjoc.202200326,6f,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,441.4690000000002,72.48527076646374,1.8602497655402235,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C=C4)Cl,"E. c., E.coli",,64,10.1002/cjoc.202200326,6g,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,430.91700000000014,148.52048074223106,2.1717863463133473,-,+,
O=C(OCC)C1=C(N(C(=O)N(C1C2=C(C=CS2)C)[H])[H])C[N]3C=NC4=C3C=C(C(=C4)C)C,"E. c., E.coli",,32,10.1002/cjoc.202200326,6h,hybrid,O=C1NCC=C(CN2C=NC3=C2C=CC=C3)N1,pyrimidinone,,424.52600000000024,75.37818649505562,1.8772456846569072,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)CC,"E. C., Escherichia coli",,16,https://doi.org/10.1016/j.bmcl.2022.128885,1a,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,фторхинолон,,397.41000000000014,40.26068795450541,1.604881191622999,-,+,нет бензимидазола
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)CC,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1b,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,155.55236889244276,2.191876629325033,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)N)F)C(=O)O,"E. C., Escherichia coli",,4,https://doi.org/10.1016/j.bmcl.2022.128885,1c,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,412.42500000000007,9.69873310298842,0.9867150082543832,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=CC(=N4)C(F)(F)F)F)C(=O)O,"E. C., Escherichia coli",,256,https://doi.org/10.1016/j.bmcl.2022.128885,1d,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,465.40700000000004,550.056187380078,2.7404070542629193,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)CC,"E. C., Escherichia coli",,16,https://doi.org/10.1016/j.bmcl.2022.128885,1e,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,411.4370000000002,38.88809222311069,1.5898166379970706,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)CC,"E. C., Escherichia coli",,16,https://doi.org/10.1016/j.bmcl.2022.128885,1f,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,425.4640000000002,37.60600191790608,1.5752571638587705,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)CC,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1g,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.4360000000002,149.73001806118336,2.1753088769725597,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)F)F)C(=O)O,"E. C., Escherichia coli",,16,https://doi.org/10.1016/j.bmcl.2022.128885,1h,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,415.40000000000003,38.51709195955705,1.5856534904568444,-,+,
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C4=NC=C(C=N4)Br)F)C(=O)O,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1i,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,476.30600000000004,134.3674024681612,2.1282939216545786,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC=N4)CC3)C5CC5,"E. C., Escherichia coli",,8,https://doi.org/10.1016/j.bmcl.2022.128885,1j,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,409.42100000000016,19.53978911682595,1.290919872284851,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=CC(=N4)C)CC3)C5CC5,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1k,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,151.14016360922702,2.1793798880057875,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=CC(=N5)C(F)(F)F)F)C(=O)O,"E. C., Escherichia coli",,128,https://doi.org/10.1016/j.bmcl.2022.128885,1l,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,477.41800000000006,268.10886895760103,2.428311180546246,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)C)CC3)C5CC5,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1m,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,423.4480000000002,151.14016360922702,2.1793798880057875,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(C=N4)CC)CC3)C5CC5,"E. C., Escherichia coli",,8,https://doi.org/10.1016/j.bmcl.2022.128885,1n,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,437.47500000000025,18.286759243385326,1.2621367471702278,-,+,
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCN(C4=NC=C(OC)C=N4)CC3)C5CC5,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1o,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,439.44700000000023,145.63758541985717,2.163273469990518,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C., Escherichia coli",,128,https://doi.org/10.1016/j.bmcl.2022.128885,1p,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,299.47755205177214,2.4763642745202716,-,+,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C5=NC=C(C=N5)F)F)C(=O)O,"E. C., Escherichia coli",,64,https://doi.org/10.1016/j.bmcl.2022.128885,1q,hybrid,C1=C2C(=CC=C1F)NC=C(C2=O)C(=O)O,,,427.41100000000006,149.73877602588607,2.1753342788562904,-,+,
O=C(NN=C(C=1C=CC=CC1)C)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,6.25,,https://doi.org/10.3390/antibiotics12071220,3a,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,405.4870000000001,6.25,0.7958800173440752,-,+,
O=C(NN=C(C1=CC=C(OC)C=C1)C)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,6.25,,https://doi.org/10.3390/antibiotics12071220,3f,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,435.51300000000015,6.25,0.7958800173440752,-,+,
O=C(NN=CC=1C=CC=C(Br)C1)CN2N=NC(=C2)CSC3=NC=4C=CC=CC4N3,E. coli,3.125,,https://doi.org/10.3390/antibiotics12071220,2d,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,470.3560000000001,3.125,0.49485002168009407,-,+,
O=C(N1C=2C=CC=CC2CC1C)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C6=NC=CC=C6,E. coli,0.056,,https://doi.org/10.3390/antibiotics12071220,35a,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,449.5180000000001,0.056,-1.2518119729937995,-,+,
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C=NC=5C=CC=CC54,E. coli,0.062,,https://doi.org/10.3390/antibiotics12071220,35b,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,403.4020000000001,0.062,-1.207608310501746,-,+,
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C=NC=5C=C(C(=CC54)C)C,E. coli,0.058,,https://doi.org/10.3390/antibiotics12071220,35c,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,431.4560000000002,0.058,-1.2365720064370627,-,+,
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C=5C=CC=CC5N=C4C,E. coli,0.03,,https://doi.org/10.3390/antibiotics12071220,35d,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,417.42900000000014,0.03,-1.5228787452803376,-,+,
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)SC,E. coli,0.056,,https://doi.org/10.3390/antibiotics12071220,35e,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,449.49600000000015,0.056,-1.2518119729937995,-,+,"два одинаковых смайлза почему- то, исправить"
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)SC,E. coli,0.052,,https://doi.org/10.3390/antibiotics12071220,35f,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,479.50000000000017,0.052,-1.2839966563652008,-,+,
O=C(N1C2=CC(=CC=C2CC1)N(=O)=O)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C6=NC=CC=C6,E. coli,0.026,,https://doi.org/10.3390/antibiotics12071220,35g,hybrid,C(SC1=NC2=C(N1)C=CC=C2)C1=CNN=N1,triazole,,480.48800000000017,0.026,-1.585026652029182,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C=NC=5C=CC=CC54,E. coli,0.07,,https://doi.org/10.1007/s11696-022-02436-1,5a,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,358.405,0.07,-1.154901959985743,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C=NC=5C=C(C(=CC54)C)C,E. coli,0.065,,https://doi.org/10.1007/s11696-022-02436-1,5b,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,386.45900000000006,0.065,-1.1870866433571443,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C,E. coli,0.067,,https://doi.org/10.1007/s11696-022-02436-1,5c,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,372.432,0.067,-1.1739251972991736,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)SC,E. coli,0.062,,https://doi.org/10.1007/s11696-022-02436-1,5d,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,404.499,0.062,-1.207608310501746,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C=6C=CC=CC6,E. coli,0.058,,https://doi.org/10.1007/s11696-022-02436-1,5e,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,434.50300000000004,0.058,-1.2365720064370627,-,+,
O=C(N1C=2C=CC=CC2CC1)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C6=NC=CC=C6,E. coli,0.057,,https://doi.org/10.1007/s11696-022-02436-1,5f,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,435.49100000000004,0.057,-1.2441251443275085,-,+,
O=C(N1C=2C=CC=CC2CC1C)CN3N=NC(=C3)CN4C=NC=5C=CC=CC54,E. coli,0.067,,https://doi.org/10.1007/s11696-022-02436-1,5g,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,372.432,0.067,-1.1739251972991736,-,+,
O=C(N1C=2C=CC=CC2CC1C)CN3N=NC(=C3)CN4C=NC=5C=C(C(=CC54)C)C,E. coli,0.063,,https://doi.org/10.1007/s11696-022-02436-1,5h,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,400.4860000000001,0.063,-1.2006594505464183,-,+,
O=C(N1C=2C=CC=CC2CC1C)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)C,E. coli,0.065,,https://doi.org/10.1007/s11696-022-02436-1,5i,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,386.45900000000006,0.065,-1.1870866433571443,-,+,
O=C(N1C=2C=CC=CC2CC1C)CN3N=NC(=C3)CN4C(=NC=5C=CC=CC54)SC,E. coli,0.06,,https://doi.org/10.1007/s11696-022-02436-1,5j,hybrid,O=C(CN1C=C(CN2C=NC3=C2C=CC=C3)N=N1)N1CCC2=C1C=CC=C2,"1,2,3-triazole-indoline",,418.52600000000007,0.06,-1.2218487496163564,-,+,
